epoch,accuracy,loss,val_accuracy,val_loss
0,0.6197836399078369,1.8060542345046997,0.79350346326828,1.5978790521621704
1,0.7217928767204285,1.0467302799224854,0.7842227220535278,4.473396301269531
2,0.812210202217102,0.690334141254425,0.895591676235199,0.32270073890686035
3,0.8786708116531372,0.45948901772499084,0.9002320170402527,0.9413532614707947
4,0.885625958442688,0.38630184531211853,0.9187934994697571,0.42772921919822693
5,0.900309145450592,0.30562886595726013,0.9466357231140137,2.188399314880371
6,0.9234930276870728,0.2193363904953003,0.9466357231140137,0.5172486901283264
7,0.9366306066513062,0.17933928966522217,0.9582366347312927,0.2871091663837433
8,0.9536321759223938,0.12567465007305145,0.9489558935165405,0.23282021284103394
9,0.9574961066246033,0.1268981397151947,0.9651972055435181,0.2258552461862564
10,0.9629057049751282,0.08654212206602097,0.9698376059532166,0.2061074674129486
11,0.9768160581588745,0.08149099349975586,0.9675173759460449,0.1919415444135666
12,0.9744976758956909,0.07876383513212204,0.9675173759460449,0.7283917665481567
13,0.9721792936325073,0.09891601651906967,0.9675173759460449,0.20253273844718933
14,0.9659969210624695,0.0978003442287445,0.9721577763557434,0.46010076999664307
15,0.9752704501152039,0.10805799067020416,0.953596293926239,0.29902759194374084
16,0.9729520678520203,0.08286730945110321,0.9559164643287659,0.20110075175762177
17,0.9799072742462158,0.055822741240262985,0.9675173759460449,0.24042163789272308
18,0.9938176274299622,0.025805510580539703,0.9605568647384644,0.3184203505516052
19,0.9791344404220581,0.0524296835064888,0.9489558935165405,0.3025520443916321
20,0.9744976758956909,0.07822989672422409,0.9582366347312927,0.33002978563308716
21,0.9829984307289124,0.06760495901107788,0.9628770351409912,0.21114660799503326
22,0.9760432839393616,0.07210492342710495,0.9559164643287659,0.20760615170001984
23,0.9752704501152039,0.07724179327487946,0.953596293926239,0.2632720172405243
24,0.9853168725967407,0.05307682603597641,0.9582366347312927,0.1741168051958084
25,0.9876352548599243,0.03441610932350159,0.9605568647384644,0.24740932881832123
26,0.9899536371231079,0.023895954713225365,0.9675173759460449,0.2722546458244324
27,0.9984543919563293,0.007450969889760017,0.9675173759460449,0.24701055884361267
28,0.9884080290794373,0.02533532865345478,0.9721577763557434,0.22793570160865784
29,0.984544038772583,0.060518279671669006,0.9628770351409912,0.19624443352222443
30,0.9814528822898865,0.05497073009610176,0.9489558935165405,0.37537410855293274
31,0.9930447936058044,0.02728729508817196,0.9582366347312927,0.4060976505279541
32,0.9899536371231079,0.0355771966278553,0.9675173759460449,0.1386527419090271
33,0.9945904016494751,0.015424409881234169,0.9721577763557434,0.21861423552036285
34,0.9837712645530701,0.04571320489048958,0.9675173759460449,0.2615254521369934
35,0.9938176274299622,0.035440098494291306,0.9628770351409912,0.17089493572711945
36,0.9914992451667786,0.03190282732248306,0.9651972055435181,0.12398946285247803
37,0.9922720193862915,0.027629410848021507,0.9651972055435181,0.13361822068691254
38,0.9969087839126587,0.021494053304195404,0.9675173759460449,0.173221156001091
39,0.9969087839126587,0.012531948275864124,0.9698376059532166,0.12496593594551086
40,0.9907264113426208,0.02279205620288849,0.9698376059532166,0.15970797836780548
41,0.989180862903595,0.023085597902536392,0.953596293926239,0.21056443452835083
42,0.9868624210357666,0.060522258281707764,0.9605568647384644,0.24776099622249603
43,0.9976816177368164,0.007806821260601282,0.9582366347312927,0.2703588306903839
44,0.9922720193862915,0.02673228643834591,0.9721577763557434,0.15560376644134521
45,0.9961360096931458,0.01469288021326065,0.9651972055435181,0.23785799741744995
46,0.9876352548599243,0.033932317048311234,0.9744779467582703,0.1515338271856308
47,0.9938176274299622,0.01751301810145378,0.9675173759460449,0.16908764839172363
48,0.9953632354736328,0.01608309894800186,0.9628770351409912,0.2435065358877182
49,0.9914992451667786,0.022361213341355324,0.9466357231140137,0.20477712154388428
