epoch,train_acc,train_auc,val_acc,val_auc
0,0.8075734157650696,0.9056038522599031,0.9559164733178654,0.9930282754154975
1,0.9528593508500772,0.9915982861842735,0.9559164733178654,0.9955752212389379
2,0.9791344667697064,0.998467416461047,0.9559164733178654,0.9970861213036909
3,0.9845440494590417,0.9990986209139076,0.962877030162413,0.9937405568745953
4,0.9945904173106646,0.9998087259233757,0.974477958236659,0.9967191884308224
5,0.999227202472952,0.9999952181480843,0.974477958236659,0.9977768184761493
6,0.999227202472952,1.0,0.9837587006960556,0.9982948413554933
7,1.0,1.0,0.9675174013921114,0.9975825598963954
8,1.0,1.0,0.9698375870069605,0.9979926613425426
9,1.0,1.0,0.974477958236659,0.9980574142024606
10,1.0,1.0,0.974477958236659,0.9980574142024605
11,1.0,1.0,0.9767981438515081,0.9980358299158213
12,1.0,1.0,0.9767981438515081,0.9979063241959854
13,1.0,1.0,0.9791183294663574,0.9979926613425427
14,1.0,1.0,0.9791183294663574,0.9980142456291821
15,1.0,1.0,0.9791183294663574,0.998014245629182
16,1.0,1.0,0.9791183294663574,0.9979926613425427
17,1.0,1.0,0.9791183294663574,0.9980574142024606
18,1.0,1.0,0.9791183294663574,0.9980574142024605
19,1.0,1.0,0.974477958236659,0.9980358299158212
20,1.0,1.0,0.974477958236659,0.9980574142024605
21,1.0,1.0,0.9767981438515081,0.9980358299158212
22,1.0,1.0,0.974477958236659,0.9980574142024605
23,1.0,1.0,0.974477958236659,0.9980574142024605
24,1.0,1.0,0.974477958236659,0.998014245629182
25,1.0,1.0,0.974477958236659,0.9979926613425426
26,1.0,1.0,0.974477958236659,0.9979926613425426
27,1.0,1.0,0.974477958236659,0.9979926613425426
28,1.0,1.0,0.974477958236659,0.9979926613425426
29,1.0,1.0,0.974477958236659,0.998014245629182
30,1.0,1.0,0.974477958236659,0.998014245629182
31,1.0,1.0,0.974477958236659,0.9979926613425426
32,1.0,1.0,0.974477958236659,0.9979926613425426
33,1.0,1.0,0.974477958236659,0.9979494927692639
34,1.0,1.0,0.974477958236659,0.9979710770559033
35,1.0,1.0,0.974477958236659,0.9979710770559033
36,1.0,1.0,0.974477958236659,0.998014245629182
37,1.0,1.0,0.974477958236659,0.997949492769264
38,1.0,1.0,0.974477958236659,0.9979494927692639
39,1.0,1.0,0.974477958236659,0.9979926613425426
40,1.0,1.0,0.974477958236659,0.998014245629182
41,1.0,1.0,0.974477958236659,0.9979710770559033
42,1.0,1.0,0.974477958236659,0.9979710770559033
43,1.0,1.0,0.974477958236659,0.9979494927692639
44,1.0,1.0,0.974477958236659,0.9979063241959854
45,1.0,1.0,0.974477958236659,0.9979063241959854
46,1.0,1.0,0.974477958236659,0.9979063241959854
47,1.0,1.0,0.974477958236659,0.9979063241959854
48,1.0,1.0,0.974477958236659,0.9979063241959854
49,1.0,1.0,0.974477958236659,0.9979279084826247
50,1.0,1.0,0.974477958236659,0.9979279084826247
51,1.0,1.0,0.974477958236659,0.9979279084826247
52,1.0,1.0,0.974477958236659,0.9979279084826247
53,1.0,1.0,0.974477958236659,0.9979279084826247
54,1.0,1.0,0.974477958236659,0.9979279084826247
55,1.0,1.0,0.974477958236659,0.997949492769264
56,1.0,1.0,0.974477958236659,0.9979710770559033
57,1.0,1.0,0.974477958236659,0.9979710770559033
58,1.0,1.0,0.974477958236659,0.9979710770559033
59,1.0,1.0,0.974477958236659,0.9979710770559033
60,1.0,1.0,0.974477958236659,0.9979710770559033
61,1.0,1.0,0.974477958236659,0.9979710770559033
62,1.0,1.0,0.974477958236659,0.9979710770559033
63,1.0,1.0,0.974477958236659,0.9979710770559033
64,1.0,1.0,0.9767981438515081,0.9979710770559033
65,1.0,1.0,0.9767981438515081,0.9979710770559034
66,1.0,1.0,0.9767981438515081,0.9979710770559033
67,1.0,1.0,0.9767981438515081,0.9979710770559034
68,1.0,1.0,0.9767981438515081,0.9979494927692639
69,1.0,1.0,0.9767981438515081,0.997949492769264
70,1.0,1.0,0.974477958236659,0.9979710770559033
71,1.0,1.0,0.974477958236659,0.9979710770559033
72,1.0,1.0,0.974477958236659,0.9979710770559034
73,1.0,1.0,0.974477958236659,0.9979494927692639
74,1.0,1.0,0.974477958236659,0.9979710770559033
